id,very_positive,positive,neutral,negative,very_negative,score
an4e8RE,1.2222,11.0,62.2222,22.7778,2.7778,9.5625
aNgmbew,1.4444,9.5556,45.8889,37.5556,5.3333,5.882352941176472
aEPdbzN,6.5,19.25,33.5,33.25,7.875,16.75
aeDKqQQ,8.3846,18.3077,43.1538,26.5385,3.7692,5.6923076923076925
aWxB523,3.9167,28.8333,49.0833,15.8333,2.4167,4.448275862068964
aWxBeM2,3.0,12.625,28.375,45.0,11.0,14.5
a5Wp9VE,2.0,10.5,54.0,29.0,4.0,17.714285714285715
aVwj2bv,3.6078,18.0,45.8431,26.9804,5.549,49.58064516129032
aR76GeQ,3.2295,14.7377,47.541,28.8033,5.7213,15.28125
a1WpnP2,3.8182,24.2727,39.4545,26.4545,5.8182,7.857142857142858
a1Wpnz2,1.6667,9.1667,51.3333,31.3333,6.6667,20.818181818181817
abG3dV8,4.0,22.9231,56.0,14.4615,2.4615,12.785714285714285
apGKnXW,4.2,22.0667,52.2,18.1333,3.4667,5.28125
aVwjmww,1.7857,11.2143,53.6667,27.8333,5.4286,6.48
an4edwo,7.6667,31.0,50.0,9.3333,2.0,8.0
ax9EQxK,1.25,11.25,60.875,24.375,2.25,21.0
ayeEKLy,5.1765,30.4118,37.4118,22.2353,4.6471,19.0
adVy1jV,3.104,17.328,43.72,30.424,5.376,21.71875
a9njwK6,3.1429,21.4286,43.8571,27.0,4.5714,10.538461538461537
aGdK5B5,4.9,17.8,47.6,24.8,5.0,31.45454545454545
aP76zzB,3.3404,19.7021,47.1277,25.4468,4.4681,5.165217391304347
adVyrDB,4.6,19.8,49.2,19.8,6.2,7.0625
aZyqYm9,3.6667,17.9048,34.4762,35.8571,8.1429,4.725
aeDKqDp,3.45,17.55,40.55,31.4,6.95,28.142857142857146
apGKV3M,5.1905,20.8929,44.9643,23.9167,4.9048,13.3544776119403
azm7Dop,2.1364,11.9545,40.9091,39.0,6.1364,17.833333333333332
aGdKQe7,4.3333,20.3333,50.8788,21.2727,3.1515,19.456896551724142
a8Gdg8Q,3.05,16.85,44.75,29.3,5.9,13.615384615384615
aQd6N5d,2.0625,13.3125,47.0625,31.75,5.8125,12.351648351648352
aR76ywj,2.8,32.0,28.4,29.6,7.2,21.785714285714285
aeDKz2p,2.6154,15.6154,50.0,27.1538,4.6154,19.035714285714285
aXgZPW6,2.5,16.1786,52.1429,25.6071,3.5714,10.209876543209877
ayeEAA8,2.8333,12.1667,37.6667,39.6667,8.0,5.833333333333332
a6Krzy8,4.2,16.8,41.6,30.8,6.6,6.8
aMxeNQM,2.4,16.6,53.2,24.2,3.7,6.646341463414633
